TPrsDpg88PXkvadFAh8YDbnTPfiitFyV2B	x	x	x	x	x	x	x.xxxxxxxxx	x	x	x	DDDDDD	rank
TS4ckcdVx3UoYcgUN82Fmw23oRyiXhUqcz	100	0		0.00	0.00 	0	0.002009831				181101	7365
TS4ckcdVx3UoYcgUN82Fmw23oRyiXhUqcz	400	0		0.01	0.00 	0	0.010093712				181102	6316
TS4ckcdVx3UoYcgUN82Fmw23oRyiXhUqcz	400	0		0.01	0.00 	0	0.018140468				181103	6366
TS4ckcdVx3UoYcgUN82Fmw23oRyiXhUqcz	400	0		0.01	0.00 	0	0.026180788				181104	6368
